gene,Fish_kME
isogroup0,0
isogroup1,0
isogroup10,0.925274626619385
isogroup100,0.812141300634882
isogroup1000,0.631560258906996
isogroup10001,0
isogroup10003,0
isogroup10006,0
isogroup10007,0
isogroup10008,0
isogroup1001,0
isogroup10011,0
isogroup10013,0.558030601950282
isogroup10014,0
isogroup10015,0.645852154287854
isogroup10018,0
isogroup10019,0
isogroup10020,0
isogroup10021,0
isogroup10022,0
isogroup10023,0
isogroup10027,0
isogroup10030,0
isogroup10034,0
isogroup10040,0
isogroup10041,0
isogroup10042,0
isogroup10043,0
isogroup10046,0
isogroup10047,0
isogroup10048,0
isogroup10049,0
isogroup10050,0
isogroup10051,0
isogroup10052,0
isogroup10053,0
isogroup10055,0
isogroup10057,0
isogroup10060,0.455861635019876
isogroup10062,0
isogroup10066,0.647115070115914
isogroup10069,0
isogroup1007,0
isogroup10074,0
isogroup10077,0
isogroup10078,0
isogroup10079,0
isogroup1008,0
isogroup10080,0.471819922498434
isogroup10083,0
isogroup10084.1,0
isogroup10085,0
isogroup10087,0
isogroup10089,0
isogroup1009,0
isogroup10091,0.602532955600989
isogroup10097,0.269954138109148
isogroup10098,0
isogroup101,0.845429904219184
isogroup1010,0
isogroup10101,0
isogroup10102,0
isogroup10103,0
isogroup10105,0
isogroup10107,0
isogroup1011,0
isogroup10115,0
isogroup10116,0
isogroup1012,0
isogroup10124,0
isogroup10127,0
isogroup10130,0
isogroup10139,0
isogroup1014,0
isogroup10142,0
isogroup10143,0
isogroup10144,0
isogroup10145,0
isogroup10152,0
isogroup10153,0
isogroup10154,0
isogroup10155,0
isogroup1016,0
isogroup10162,0
isogroup10165,0
isogroup10166,0
isogroup10169,0
isogroup10172,0
isogroup10173,0.555391171853142
isogroup10174,0
isogroup10176,0
isogroup10178,0
isogroup1018,0.428189132081969
isogroup10180,0
isogroup10185,0
isogroup10186,0
isogroup10187,0
isogroup10189,0
isogroup10190,0
isogroup10195,0
isogroup10198,0
isogroup10199,0.270205582329252
isogroup102,0.910910266393179
isogroup1020,0
isogroup10200,0
isogroup10203,0
isogroup10205,0
isogroup10206,0
isogroup10208,0
isogroup10209,0.519149085652507
isogroup1021,0
isogroup10212,0
isogroup10214,0
isogroup10215,0.320660733482831
isogroup10218,0
isogroup10219,0
isogroup1022,0
isogroup10221,0
isogroup10222,0
isogroup10223,0
isogroup10224,0
isogroup10226,0
isogroup10227,0
isogroup10228,0
isogroup1023,0
isogroup10230,0.552330011411215
isogroup10231,0
isogroup10233,0
isogroup10236,0
isogroup10237,0
isogroup10238,0
isogroup10242,0
isogroup10244,0
isogroup10245,0
isogroup1025,0.61444329392893
isogroup10252,0
isogroup10254,0
isogroup10255,0
isogroup10256,0
isogroup10258,0
isogroup10259,0
isogroup1026,0
isogroup10263,0
isogroup10265,0
isogroup10266,0
isogroup10267,0
isogroup1027,0.649214644166788
isogroup10270,0.345370382512961
isogroup10272,0
isogroup10273,0
isogroup10276,0.733627594032538
isogroup10277,0
isogroup1028.1,0
isogroup10281,0
isogroup10282,0
isogroup10284,0
isogroup10287,0.701426290252639
isogroup10289,0
isogroup10290,0
isogroup10291,0
isogroup10292,0.197121319677167
isogroup10294,0
isogroup10299,0
isogroup103,0
isogroup10300,0.489680181851418
