gene,logP
isogroup0,8.3
isogroup1,2
isogroup10,9.9
isogroup100,2.6
isogroup1000,2.4
isogroup10000,1
isogroup10001,0
isogroup10002,0.9
isogroup10003,-0.3
isogroup10004,1.5
isogroup10006,-6.9
isogroup10007,-0.4
isogroup10008,-7.3
isogroup10009,0.5
isogroup1001,3.7
isogroup10010,-0.6
isogroup10011,-2.8
isogroup10012,0.8
isogroup10013,1.2
isogroup10014,-1.4
isogroup10015,1.2
isogroup10016,0.7
isogroup10017,-0.3
isogroup10018,0.1
isogroup10019,-6.2
isogroup1002,1.2
isogroup10020,-1.4
isogroup10021,-2.4
isogroup10022,-1.2
isogroup10023,-1.5
isogroup10024,2.4
isogroup10025,1.7
isogroup10026,1
isogroup10027,-1.4
isogroup10028,2.4
isogroup1003,5.2
isogroup10030,-0.1
isogroup10031,-0.3
isogroup10032,0.5
isogroup10033,0.7
isogroup10034,-0.9
isogroup10035,0.2
isogroup10036,0.6
isogroup10037,2.1
isogroup10038,0.2
isogroup10039,1.7
isogroup1004,0.5
isogroup10040,0.2
isogroup10041,0.1
isogroup10042,0.1
isogroup10043,-0.2
isogroup10044,0.1
isogroup10045,1.6
isogroup10046,-0.5
isogroup10047,0.3
isogroup10048,1.4
isogroup10049,-8.4
isogroup1005,2
isogroup10050,-6.8
isogroup10051,0.4
isogroup10052,-0.6
isogroup10053,-0.9
isogroup10054,-0.2
isogroup10055,2
isogroup10056.1,-0.2
isogroup10057,-1.1
isogroup10058,1.6
isogroup10059,0.5
isogroup1006,3.8
isogroup10060,1.2
isogroup10062,-0.8
isogroup10063,1.9
isogroup10064,1
isogroup10065,-1.6
isogroup10066,0
isogroup10067,0
isogroup10067.1,-0.1
isogroup10068,0.9
isogroup10069,0.3
isogroup1007,-0.1
isogroup10070,0.5
isogroup10071,1.7
isogroup10072,2.3
isogroup10073,0.1
isogroup10074,-0.6
isogroup10075,0.7
isogroup10076,3
isogroup10077,-0.1
isogroup10078,-10
isogroup10079,-2
isogroup1008,0.7
isogroup10080,1
isogroup10082,-0.7
isogroup10083,-1.1
isogroup10084,0.2
isogroup10084.1,-0.8
isogroup10085,0.9
isogroup10086,0.6
isogroup10087,5.5
isogroup10088,-0.8
isogroup10089,0.6
isogroup1009,0.3
isogroup10090,0
isogroup10091,2.5
isogroup10094,-0.2
isogroup10095,0.1
isogroup10097,1.8
isogroup10098,-3.1
isogroup10099,0.5
isogroup101,4
isogroup1010,1
isogroup10101,-3.1
isogroup10102,-1.9
isogroup10103,-0.5
isogroup10104,1.2
isogroup10105,0.1
isogroup10106,0
isogroup10107,0.4
isogroup10109,0.1
isogroup1011,1.1
isogroup10111,-0.2
isogroup10113,-2.3
isogroup10114,0.1
isogroup10115,-1.6
isogroup10116,-0.9
isogroup10118,0.5
isogroup10119,1.4
isogroup1012,-2.4
isogroup10121,0.4
isogroup10122,-0.3
isogroup10124,0.9
isogroup10125,-2.1
isogroup10127,-0.5
isogroup10128,-0.4
isogroup10129,0.5
isogroup10130,-3.1
isogroup10132,0.6
isogroup10133,-0.5
isogroup10134,5.5
isogroup10135,0.1
isogroup10136,0.2
isogroup10137,-1.4
isogroup10138,-0.8
isogroup10139,0.2
isogroup1014,0.7
isogroup10140,0
isogroup10140.1,0.1
isogroup10141,-0.3
isogroup10142,0
isogroup10143,-1.2
isogroup10144,-0.5
isogroup10145,1.8
isogroup10146,-0.1
isogroup10147,0.8
isogroup10149,0.7
isogroup1015,-0.7
isogroup10151,0.3
isogroup10152,-1.7
isogroup10153,0.4
isogroup10154,0.2
isogroup10155,1.1
isogroup10156,1
isogroup10157,0.8
isogroup10158,0.2
isogroup10159,2.3
isogroup1016,0.3
isogroup10160,0.5
isogroup10161,0.5
isogroup10162,-1.9
isogroup10163,0.5
isogroup10164,1.1
isogroup10165,-1.1
isogroup10166,-0.4
isogroup10167,1.1
isogroup10168,0.2
isogroup10169,-2.6
isogroup1017,0.2
isogroup10170,0
isogroup10171,-2.8
isogroup10172,0.3
isogroup10173,1.6
isogroup10174,-10
isogroup10176,-0.1
isogroup10177,0.3
isogroup10178,-0.1
isogroup1018,0.8
isogroup10180,-0.7
isogroup10181,1.9
isogroup10183,-0.5
isogroup10184,1.5
isogroup10185,-0.5
isogroup10186,3
isogroup10187,1.1
isogroup10188,0
isogroup10189,0
isogroup1019,1.9
isogroup10190,-4.4
isogroup10191,2.1
isogroup10193,1.1
isogroup10195,0.6
isogroup10196,0.5
isogroup10197,0.5
isogroup10198,0.7
isogroup10199,1
isogroup102,9.8
isogroup1020,0.9
isogroup10200,-0.4
isogroup10201,0.1
isogroup10202,1.6
isogroup10203,0.5
isogroup10204,0.3
isogroup10205,-0.6
isogroup10206,-1.8
isogroup10208,0.9
isogroup10209,0.6
isogroup1021,0.7
isogroup10210,-0.1
isogroup10211,0.1
isogroup10212,-1
isogroup10213,4.4
isogroup10214,-0.4
isogroup10215,0
isogroup10216,-0.1
isogroup10217,0.5
isogroup10218,0.1
isogroup10219,-0.3
isogroup1022,0
isogroup10220,0.3
isogroup10221,0
isogroup10222,-0.6
isogroup10223,0.3
isogroup10224,-10
isogroup10225,-1.6
isogroup10226,-7.1
isogroup10227,-0.9
isogroup10228,3.3
isogroup10229,0.2
isogroup1023,-0.1
isogroup10230,7.3
isogroup10231,-0.4
isogroup10232,0.3
isogroup10233,-0.3
isogroup10234,0.2
isogroup10236,-0.5
isogroup10237,-0.8
isogroup10238,0
isogroup10239,0.3
isogroup10240,0.2
isogroup10241,0.2
isogroup10242,-1.2
isogroup10243,-0.6
isogroup10244,-1.3
isogroup10245,-0.6
isogroup10249,-0.3
isogroup1025,0
isogroup10250,0.5
isogroup10251,-0.1
isogroup10252,-0.2
isogroup10253,0.2
isogroup10254,-1.4
isogroup10255,0.3
isogroup10256,0.8
isogroup10257,0.5
isogroup10258,-2
isogroup10259,-0.1
isogroup1026,3.2
isogroup10261,2.2
isogroup10262,0.3
isogroup10263,-0.7
isogroup10264,-0.1
isogroup10265,0.1
isogroup10266,-1
isogroup10267,-1.2
isogroup10268,0.7
isogroup10269,1.4
isogroup10269.1,0
isogroup1027,2.5
isogroup10270,0.6
isogroup10271,1.2
isogroup10272,0.3
isogroup10273,-8.3
isogroup10274,1.6
isogroup10275,2.1
isogroup10276,0.7
isogroup10277,-0.1
isogroup10278,0.1
isogroup10279,0.9
isogroup1028,0
isogroup1028.1,0
isogroup10280,0.6
isogroup10281,0.1
isogroup10282,-4.3
isogroup10283,0.6
isogroup10284,-0.4
isogroup10285,0.4
isogroup10286,0.3
isogroup10287,0.2
isogroup10288,-0.2
isogroup10289,0.2
isogroup1029,0.7
isogroup10290,1.7
isogroup10291,-0.1
isogroup10292,0.1
isogroup10293,0.2
isogroup10294,-3
isogroup10295,0
isogroup10296,0.9
isogroup10297,0.8
isogroup10298,1.6
isogroup10299,-10
isogroup103,5.9
isogroup1030,0.6
isogroup10300,1.1
isogroup10301,-0.1
isogroup10302,-0.5
isogroup10303,-0.3
isogroup10304,0.6
isogroup10305,-0.1
isogroup10306,-1.3
isogroup10307,1.2
isogroup10308,0.3
isogroup10309,1.3
isogroup1031,0.4
isogroup10310,1.8
isogroup10311,-3.5
isogroup10312,-0.2
isogroup10313,0.2
isogroup10314,0.6
isogroup10315,-1.2
isogroup10316,-2.5
isogroup10317,-1.5
isogroup10318,0.2
isogroup10319,-1
isogroup1032,2.9
isogroup10320,2.9
isogroup10321,-0.9
isogroup10322,1.1
isogroup10323,-1.9
isogroup10324,0.5
isogroup10325,0.5
isogroup10326,0
isogroup10327,2.7
isogroup10328,0
isogroup10329,-0.5
isogroup1033,1.7
isogroup10330,1.3
isogroup10331,0.1
isogroup10332,0.1
isogroup10333,-2.9
isogroup10334,0
isogroup10335,0.4
isogroup10336,-0.1
isogroup10337,-0.1
isogroup10338,2.5
isogroup10339,-0.2
isogroup1034,0.6
isogroup10340,-0.2
isogroup10340.1,-0.3
isogroup10341,2
isogroup10342,-0.8
isogroup10343,-0.1
isogroup10344,2.5
isogroup10345,-0.5
isogroup10346,1.3
isogroup10347,0
isogroup10348,-0.5
isogroup10349,0.3
isogroup1035,2.5
isogroup10350,-1.3
isogroup10351,-2.7
isogroup10352,3.2
isogroup10353,-0.1
isogroup10355,1.4
isogroup10356,0.5
isogroup10357,-3.4
isogroup10358,-0.5
isogroup10359,-1.2
isogroup1036,0.6
isogroup10360,0
isogroup10361,0
isogroup10363,-0.6
isogroup10364,0
isogroup10365,0.2
isogroup10366,0.2
isogroup10367,-2
isogroup10368,0.9
isogroup10369,0.6
isogroup1037,-6
isogroup10370,-0.4
isogroup10373,-0.1
isogroup10374,0.1
isogroup10375,-2
isogroup10376,-0.3
isogroup10377,-5.6
isogroup10378,0.3
isogroup10379,2.5
isogroup1038,1.2
isogroup10380,3.3
isogroup10381,0.4
isogroup10382,3.5
isogroup10383,0.9
isogroup10384,-1.5
isogroup10385,-2.1
isogroup10386,-0.8
isogroup10387,-0.5
isogroup10389,0
isogroup1039,0.5
isogroup10390,0.1
isogroup10391,-0.1
isogroup10392,-0.8
isogroup10393,0.5
isogroup10394,1.4
isogroup10395,-0.8
isogroup10396,-0.6
isogroup10397,0.9
isogroup10398,0.3
isogroup10399,-0.9
isogroup104,5.3
isogroup1040,0.1
isogroup10400,-0.9
isogroup10401,0.6
isogroup10402,0.4
isogroup10404,0.7
isogroup10405,0.6
isogroup10406,-0.2
isogroup10408,0.9
isogroup10409,-6.3
isogroup1041,0.7
isogroup10410,0.1
isogroup10411,0.2
isogroup10412,2.2
isogroup10413,-5.2
isogroup10414.1,0.5
isogroup10415,0.1
isogroup10416,0.1
isogroup10417,-1.8
isogroup10418,-2.7
isogroup10419,0.3
isogroup1042,2.1
isogroup10420,-0.1
isogroup10421,2.1
isogroup10422,3.6
isogroup10423,-0.9
isogroup10424,-2.2
isogroup10425,-3.2
isogroup10426,1.3
isogroup10427,-0.6
isogroup10428,0.7
isogroup10429,-1.4
isogroup1043,0.8
isogroup10430,1.3
isogroup10431,0.7
isogroup10432,-1.7
isogroup10433,-1.3
isogroup10434,1.8
isogroup10435,-3.3
isogroup10436,-2.1
isogroup10437,0
isogroup10438,0.5
isogroup10439,-1.4
isogroup1044,5
isogroup10440,-3.2
isogroup10441,-0.8
isogroup10442,-0.1
isogroup10443,-0.9
isogroup10444,0.1
isogroup10445,-1.2
isogroup10446,0.2
isogroup10447,0
isogroup10448,-0.4
isogroup1045,5.2
isogroup10451,-0.1
isogroup10452,0.9
isogroup10453,-0.1
isogroup10454,0.2
isogroup10455,-0.3
isogroup10456,1.8
isogroup10457,-0.1
isogroup10458,-7.3
isogroup1046,1.8
isogroup10460,1.9
isogroup10461,-0.1
isogroup10462,-0.8
isogroup10463,0.2
isogroup10464,-0.3
isogroup10465,-0.2
isogroup10466,-10
isogroup10467,0
isogroup10468,1.8
isogroup10469,0.5
isogroup1047,0
isogroup10470,-0.4
isogroup10471,-0.6
isogroup10472,0.7
isogroup10473,-0.1
isogroup10474,2.4
isogroup10476,0.4
isogroup10477,0.4
isogroup10478,-2
isogroup10479,0.5
isogroup1048,0.4
isogroup10480,-0.6
isogroup10481,0.1
isogroup10482,-0.1
isogroup10483,-0.4
isogroup10484,0
isogroup10485,-0.2
isogroup10486,-0.4
isogroup10487,2.4
isogroup10488,0.1
isogroup10489,0.2
isogroup1049,-0.7
isogroup10490,-0.3
isogroup10491,-0.4
isogroup10492,-0.6
isogroup10493,0.1
isogroup10494,-10
isogroup10495,-3.6
isogroup10496,-1.5
isogroup10497,0.1
isogroup10498,-1.9
isogroup105,7.7
isogroup1050,0.2
isogroup10500,6.3
isogroup10501,1.1
isogroup10502,0
isogroup10503,-0.2
isogroup10504,-1.2
isogroup10505,-0.6
isogroup10507,-1.3
isogroup10508,0.4
isogroup10509,-0.1
isogroup1051,-3.3
isogroup10510,0.7
isogroup10511,-0.6
isogroup10512,2.3
isogroup10513,-0.5
isogroup10514,0.6
isogroup10515,-0.4
isogroup10516,0.1
isogroup10517,0.2
isogroup10518,0.6
isogroup10519,0.1
isogroup1052,0.3
isogroup10520,0.5
isogroup10521,-10
isogroup10522,0.3
isogroup10524,-0.3
isogroup10525,1.6
isogroup10526,0.6
isogroup10528,1.2
isogroup10529,0.7
isogroup1053,0.4
isogroup10530,-2.8
isogroup10531,0.4
isogroup10532,-3.8
isogroup10533,2.5
isogroup10534,-0.3
isogroup10535,-0.6
isogroup10536,-4.4
isogroup10537,0.4
isogroup10538,2.1
isogroup10539,0.1
isogroup1054,3
isogroup10540,0.9
isogroup10541,1
isogroup10542,-0.8
isogroup10543,0.3
isogroup10544,0.4
isogroup10545,1.8
isogroup10546,-1.1
isogroup10547,0.1
isogroup10548,-0.6
isogroup10549,0.4
isogroup1055,1.1
isogroup10550,0.4
isogroup10551,0
isogroup10552,0
isogroup10553,-1
isogroup10554,-0.4
isogroup10555,0.6
isogroup10556,-0.9
isogroup10557,-0.4
isogroup10558,0
isogroup10559,1.5
isogroup1056,0
isogroup10560,-0.4
isogroup10561,0
isogroup10562,-1.5
isogroup10563,0.8
isogroup10564,0.1
isogroup10565,-0.5
isogroup10566,-0.6
isogroup10569,1
isogroup1057,-0.6
isogroup10570,0.3
isogroup10571,0.8
isogroup10572,1.7
isogroup10573,0.8
isogroup10574,1.4
isogroup10575,-0.3
isogroup10576,0.4
isogroup10577,0.3
isogroup10578,1.5
isogroup10579,-0.3
isogroup1058,1.4
isogroup10580,0.5
isogroup10582,0.1
isogroup10583,1.1
isogroup10585,0.2
isogroup10586,-4
isogroup10587,-2.8
isogroup10588.1,-2.9
