gene,lp
isogroup0,-0.15
isogroup1,-1.29
isogroup10,-1.45
isogroup100,-0.43
isogroup1000,0.05
isogroup10000,5.69
isogroup10001,1.82
isogroup10002,1.74
isogroup10003,-0.37
isogroup10004,2.69
isogroup10006,-2.41
isogroup10007,0.02
isogroup10008,-1.92
isogroup10009,1.03
isogroup1001,-1.75
isogroup10010,-1.46
isogroup10011,2.68
isogroup10012,0.21
isogroup10013,-2.48
isogroup10014,0.64
isogroup10015,1.04
isogroup10016,1.55
isogroup10017,0.25
isogroup10018,1.12
isogroup10019,-0.24
isogroup1002,-1.68
isogroup10020,-3.08
isogroup10021,-1.09
isogroup10022,-0.38
isogroup10023,-1
isogroup10024,0.01
isogroup10025,-0.45
isogroup10026,1.29
isogroup10027,-1.43
isogroup10028,0.09
isogroup10029,-0.01
isogroup1003,7.04
isogroup10030,1.27
isogroup10031,1.25
isogroup10032,-0.33
isogroup10033,-0.09
isogroup10034,0.92
isogroup10035,1.79
isogroup10036,-1.62
isogroup10037,-0.06
isogroup10038,0.64
isogroup10039,-0.11
isogroup1004,-1.19
isogroup10040,-0.06
isogroup10041,0.19
isogroup10042,-0.18
isogroup10043,0.06
isogroup10044,-0.02
isogroup10045,1.41
isogroup10046,0.27
isogroup10047,-0.74
isogroup10048,0.91
isogroup10049,1.87
isogroup1005,0.36
isogroup10050,-1.04
isogroup10051,-0.01
isogroup10052,0.06
isogroup10053,0.22
isogroup10054,0.39
isogroup10055,-0.97
isogroup10056,0.25
isogroup10056.1,-0.32
isogroup10057,-0.61
isogroup10058,-0.28
isogroup10059,0.39
isogroup1006,-0.09
isogroup10060,-1.93
isogroup10061,-0.45
isogroup10062,0.28
isogroup10063,1.72
isogroup10064,2.61
isogroup10065,0.17
isogroup10066,0.68
isogroup10067,-1.15
isogroup10067.1,-1.65
isogroup10068,1.19
isogroup10069,-0.27
isogroup1007,-2.75
isogroup10070,0.71
isogroup10071,1.82
isogroup10072,1.65
isogroup10073,0.04
isogroup10074,0.21
isogroup10075,0.44
isogroup10076,0.5
isogroup10077,0.07
isogroup10078,-2
isogroup10079,0.37
isogroup1008,0.42
isogroup10080,0.24
isogroup10081,-0.88
isogroup10082,2.82
isogroup10083,1.03
isogroup10084,0.87
isogroup10084.1,0.37
isogroup10085,0.04
isogroup10086,1.56
isogroup10087,-0.12
isogroup10088,1.76
isogroup10089,-1.62
isogroup1009,-4.96
isogroup10090,2.35
isogroup10091,5.4
isogroup10092,-0.14
isogroup10093,0.79
isogroup10094,1
isogroup10095,-0.39
isogroup10096,-0.4
isogroup10097,-0.09
isogroup10098,1.96
isogroup10099,0.5
isogroup101,-1.87
isogroup1010,0.57
isogroup10100,0.37
isogroup10101,0.58
isogroup10102,1.23
isogroup10103,-0.36
isogroup10104,0.06
isogroup10105,0.4
isogroup10106,-0.29
isogroup10107,0.04
isogroup10108,-0.05
isogroup10109,-0.44
isogroup1011,-1.2
isogroup10110,-0.1
isogroup10111,-1.24
isogroup10113,0.07
isogroup10114,0.06
isogroup10115,1.28
isogroup10116,-2
isogroup10117,0.01
isogroup10118,2.61
isogroup10119,-0.09
isogroup1012,-2.08
isogroup10120,0.7
isogroup10121,0.44
isogroup10122,0.36
isogroup10123,-0.2
isogroup10124,0.06
isogroup10125,-0.55
isogroup10126,-0.12
isogroup10127,-0.75
isogroup10128,0.88
isogroup10129,0.02
isogroup10130,2.59
isogroup10131,0.26
isogroup10132,-1.05
isogroup10133,-0.3
isogroup10134,0.14
isogroup10135,0.79
isogroup10136,2.1
isogroup10137,-1.58
isogroup10138,-0.38
isogroup10139,-0.83
isogroup1014,-1.27
isogroup10140,-0.19
isogroup10140.1,-0.42
isogroup10141,0.51
isogroup10142,0.14
isogroup10143,0.18
isogroup10144,-1.04
isogroup10145,2.52
isogroup10146,0.43
isogroup10147,0.11
isogroup10148,-0.16
isogroup10149,0.3
isogroup1015,-1.22
isogroup10151,0.08
isogroup10152,-0.92
isogroup10153,1.9
isogroup10154,0.84
isogroup10155,-1.23
isogroup10156,0.31
isogroup10157,0.27
isogroup10158,2.55
isogroup10159,2.25
isogroup1016,-0.56
isogroup10160,-0.12
isogroup10161,-0.1
isogroup10162,0.95
isogroup10163,1.24
isogroup10164,-0.08
isogroup10165,-0.3
isogroup10166,8.32
isogroup10167,0.2
isogroup10168,0.42
isogroup10169,0.74
isogroup1017,1.48
isogroup10170,-0.47
isogroup10171,3.03
isogroup10172,-0.14
isogroup10173,3.48
isogroup10174,-0.24
isogroup10176,-0.25
isogroup10177,-0.22
isogroup10178,0.58
isogroup10179,-0.25
isogroup1018,-0.09
isogroup10180,1.77
isogroup10181,-1.05
isogroup10183,-0.63
isogroup10184,-0.19
isogroup10185,-0.29
isogroup10186,0.25
isogroup10187,0.19
isogroup10188,0.53
isogroup10189,-1.55
isogroup1019,-1.92
isogroup10190,-0.9
isogroup10191,0
isogroup10193,-2.48
isogroup10194,0.28
isogroup10195,-0.47
isogroup10196,0.25
isogroup10197,-0.01
isogroup10198,0.67
isogroup10199,-0.41
isogroup102,-1.88
isogroup1020,-0.59
isogroup10200,2.54
isogroup10201,-0.24
isogroup10202,0.05
isogroup10203,0.27
isogroup10204,0.05
isogroup10205,0.21
isogroup10206,-0.64
isogroup10207,-0.03
isogroup10208,0.26
isogroup10209,-0.69
isogroup1021,-0.99
isogroup10210,0.36
isogroup10211,0.7
isogroup10212,-0.43
isogroup10213,1.16
isogroup10214,0.2
isogroup10215,-0.07
isogroup10216,0.18
isogroup10217,-0.12
isogroup10218,0.69
isogroup10219,2.72
isogroup1022,2.03
isogroup10220,-0.04
isogroup10221,0.02
isogroup10222,1.12
isogroup10223,0.09
isogroup10224,0.41
isogroup10225,-0.07
isogroup10226,2.81
isogroup10227,-0.16
isogroup10228,-0.01
isogroup10229,1.81
isogroup1023,0.14
isogroup10230,-4.49
isogroup10231,-0.99
isogroup10232,-1.75
isogroup10233,0.23
isogroup10234,0.14
isogroup10235,0.09
isogroup10236,0.42
isogroup10237,-0.39
isogroup10238,-0.43
isogroup10239,0.34
isogroup10240,0.17
isogroup10241,0.77
isogroup10242,1.98
isogroup10243,-0.04
isogroup10244,-0.03
isogroup10245,-7.99
isogroup10246,-0.02
isogroup10247,-0.02
isogroup10248,-0.31
isogroup10249,0.11
isogroup1025,0.78
isogroup10250,0.04
isogroup10251,-0.01
isogroup10252,-0.3
isogroup10253,-0.3
isogroup10254,1.09
isogroup10255,-0.23
isogroup10256,-0.57
isogroup10257,0.27
isogroup10258,-1.6
isogroup10259,0.04
isogroup1026,-0.72
isogroup10261,0.23
isogroup10262,-0.34
isogroup10263,-0.35
isogroup10264,0.56
isogroup10265,0.73
isogroup10266,-0.2
isogroup10267,1.73
isogroup10268,1.31
isogroup10269,1.61
isogroup10269.1,2.21
isogroup1027,0.07
isogroup10270,1.81
isogroup10271,-2.88
isogroup10272,1.61
isogroup10273,-0.63
isogroup10274,0.69
isogroup10275,0.12
isogroup10276,-0.96
isogroup10277,-0.51
isogroup10278,-0.19
isogroup10279,0.61
isogroup1028,0.47
isogroup1028.1,-0.75
isogroup10280,0.44
isogroup10281,0.26
isogroup10282,-0.32
isogroup10283,0.64
isogroup10284,0.13
isogroup10285,0.56
isogroup10286,-0.99
isogroup10287,0.6
isogroup10288,1.86
isogroup10289,0.66
isogroup1029,0.01
isogroup10290,-0.28
isogroup10291,1.31
isogroup10292,0.19
isogroup10293,0.51
isogroup10294,0.32
isogroup10295,2.39
isogroup10296,0.21
isogroup10297,0.29
isogroup10298,-1.31
isogroup10299,-2.64
isogroup103,-0.21
isogroup1030,-0.09
isogroup10300,-0.96
isogroup10301,0.7
isogroup10302,-0.06
isogroup10303,0.03
isogroup10304,1.96
isogroup10305,-0.43
isogroup10306,-1.26
isogroup10307,0.82
isogroup10308,0.84
isogroup10309,-0.42
isogroup1031,2.03
isogroup10310,0.14
isogroup10311,2.08
isogroup10312,-0.35
isogroup10313,0.61
isogroup10314,0.2
isogroup10315,-0.47
isogroup10316,0.06
isogroup10317,1.79
isogroup10318,-0.16
isogroup10319,-0.11
isogroup1032,0.97
isogroup10320,2.16
isogroup10321,1.66
isogroup10322,0.44
isogroup10323,-1.69
isogroup10324,-0.2
isogroup10325,0.48
isogroup10326,-0.61
isogroup10327,-0.12
