V1	V2
isogroup15359	GO:0001614;GO:0004931;GO:0009719;GO:0035381;GO:0035587;GO:0022834
isogroup0	GO:0004687
isogroup100	GO:0003779;GO:0008091
isogroup10001	GO:0003993
isogroup10002	GO:0005524;GO:0016887;GO:0000166;GO:0017111
isogroup10003	GO:0006605;GO:0006886;GO:0016020;GO:0015031;GO:0015450
isogroup10004	GO:0004197;GO:0006508;GO:0008234;GO:0004217
isogroup10006	GO:0001733
isogroup10007	GO:0003824;GO:0008152;GO:0000247;GO:0008416;GO:0016863;GO:0018842;GO:0004165
isogroup10009	GO:0005044;GO:0016020
isogroup1001	GO:0000059;GO:0005634;GO:0005643;GO:0005737;GO:0008565
isogroup10010	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0009719;GO:0005164;GO:0033209;GO:0010992
isogroup10011	GO:0008113;GO:0033743
isogroup10012	GO:0005540;GO:0007155;GO:0005529
isogroup10014	GO:0006886;GO:0030125
isogroup10015	GO:0003779;GO:0016043;GO:0017048;GO:0030036;GO:0004806
isogroup10018	GO:0003677;GO:0005634;GO:0040029;GO:0016570
isogroup10019	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004684;GO:0004685;GO:0005954;GO:0007268;GO:0048167
isogroup1002	GO:0003774;GO:0005524;GO:0016459;GO:0004672;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
isogroup10021	GO:0003677;GO:0005677;GO:0006342;GO:0006355;GO:0003956
isogroup10025	GO:0003677;GO:0005634;GO:0006355
isogroup10029	GO:0004558;GO:0004339
isogroup1003	GO:0004222;GO:0006508
isogroup10032	GO:0043087
isogroup10033	GO:0016491;GO:0008336
isogroup10034	GO:0004840;GO:0006464;GO:0006512;GO:0004842
isogroup10036	GO:0005524;GO:0006812;GO:0015662;GO:0016020;GO:0005388;GO:0006816;GO:0016021;GO:0003824;GO:0008152;GO:0016820
isogroup10037	GO:0004558;GO:0004339
isogroup10039	GO:0004040;GO:0016884;GO:0017068;GO:0050566;GO:0050567
isogroup10042	GO:0008152;GO:0016491;GO:0051341
isogroup10044	GO:0005215;GO:0006810;GO:0016020;GO:0008523
isogroup10045	GO:0003700;GO:0005634;GO:0006355
isogroup10047	GO:0015068
isogroup10048	GO:0008152;GO:0016491;GO:0004449;GO:0005739;GO:0006099;GO:0004448
isogroup1005	GO:0003676
isogroup10052	GO:0004103;GO:0004305
isogroup10053	GO:0005509
isogroup10055	GO:0003824;GO:0008464
isogroup10056	GO:0046872
isogroup10058	GO:0005524;GO:0006810;GO:0016021;GO:0042626;GO:0016887;GO:0000166;GO:0017111
isogroup10061	GO:0003779
isogroup10062	GO:0003676
isogroup10063	GO:0004842;GO:0006512;GO:0010992
isogroup10066	GO:0008270;GO:0003676;GO:0005634
